Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/31/2024,"AES IN/EZP       UTILITYPMT 5066207         WEB ID: 0000007041",-244.93,ACH_DEBIT,1158.68,,
DEBIT,12/31/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-7.16,ACH_DEBIT,1403.61,,
DEBIT,12/31/2024,"PAYPAL           INST XFER  CLINEAVENUE     WEB ID: PAYPALSI77",-55.77,ACH_DEBIT,1410.77,,
DEBIT,12/31/2024,"BARRE DEFINITION BARREDEFINITI CA            12/31",-59.99,DEBIT_CARD,1466.54,,
DEBIT,12/31/2024,"STARBUCKS 800-782-728 800-782-7282 WA        12/31",-20.00,DEBIT_CARD,1526.53,,
DEBIT,12/31/2024,"THE WEST WIND NAIL CARE CARMEL IN            12/30",-33.75,DEBIT_CARD,1546.53,,
DEBIT,12/31/2024,"SP IGK HAIR HTTPSWWW.IGKH FL                 12/31",-146.64,DEBIT_CARD,1580.28,,
DEBIT,12/30/2024,"KROGER #3 10679 N MICH ZIONSVILLE IN         12/30",-21.63,DEBIT_CARD,1726.92,,
DEBIT,12/30/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-32.99,ACH_DEBIT,1748.55,,
DEBIT,12/30/2024,"PAYPAL           INST XFER  LYFT RIDE SAT 8 WEB ID: PAYPALSI77",-14.10,ACH_DEBIT,1781.54,,
DEBIT,12/30/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-42.16,ACH_DEBIT,1795.64,,
DEBIT,12/30/2024,"AMAZON MKTPL*ZP76M38 Amzn.com/bill WA        12/30",-30.48,DEBIT_CARD,1837.80,,
DEBIT,12/30/2024,"APPLE.COM/BILL 866-712-7753 CA               12/29",-38.35,DEBIT_CARD,1868.28,,
DEBIT,12/30/2024,"PELOTON* MEMBERSHIP HTTPSWWW.ONEP NY         12/28",-44.00,DEBIT_CARD,1906.63,,
DEBIT,12/30/2024,"SP LASHIFY INC HTTPSWWW.LASH CA              12/28",-53.50,DEBIT_CARD,1950.63,,
DEBIT,12/30/2024,"SPOT & TANGO WWW.SPOTANDTA NY                12/28",-228.48,DEBIT_CARD,2004.13,,
DEBIT,12/30/2024,"BDH MANAGEMENT INC INDIANAPOLIS IN           12/28",-37.08,DEBIT_CARD,2232.61,,
DEBIT,12/30/2024,"Disney Plus 888-9057888 CA                   12/28",-12.00,DEBIT_CARD,2269.69,,
DEBIT,12/30/2024,"HOPLARK.COM HOPLARK.COM NY                   12/28",-85.17,DEBIT_CARD,2281.69,,
DEBIT,12/30/2024,"AMAZON MKTPL*ZE0DE5L Amzn.com/bill WA        12/28",-106.99,DEBIT_CARD,2366.86,,
DEBIT,12/30/2024,"TST* PETITE CHOU BIST INDIANAPOLIS IN        12/27",-110.36,DEBIT_CARD,2473.85,,
DEBIT,12/30/2024,"SP HALFPRICEDRAPES HTTPSWWW.HALF CA          12/27",-280.75,DEBIT_CARD,2584.21,,
DEBIT,12/30/2024,"IKEA 468367152 888-434-4532 MD               12/29",21.40,DEBIT_CARD,2864.96,,
DEBIT,12/27/2024,"PAYPAL           INST XFER  PIMSLEURSUB     WEB ID: PAYPALSI77",-22.42,ACH_DEBIT,2843.56,,
DEBIT,12/27/2024,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-3.85,ACH_DEBIT,2865.98,,
DEBIT,12/27/2024,"PAYPAL           INST XFER  GOOGLE YOUTUBE  WEB ID: PAYPALSI77",-22.99,ACH_DEBIT,2869.83,,
DEBIT,12/27/2024,"PROG PALOVERDE   INS PREM   905147028 Krist WEB ID: 9409348039",-393.64,ACH_DEBIT,2892.82,,
DEBIT,12/27/2024,"APPLE.COM/BILL 866-712-7753 CA               12/27",-48.12,DEBIT_CARD,3286.46,,
DEBIT,12/27/2024,"Online Payment 22851642659 To Auto Loan 1101 12/27",-2000.00,LOAN_PMT,3334.58,,
DEBIT,12/27/2024,"Credit One Bank  Payment    53394349        WEB ID: WEB000004",-10.65,ACH_DEBIT,5334.58,,
DEBIT,12/27/2024,"FLOW WATER USA FLOWHYDRATION VA              12/27",-68.37,DEBIT_CARD,5345.23,,
DEBIT,12/27/2024,"IKEA 468367152 888-434-4532 MD               12/26",-21.40,DEBIT_CARD,5413.60,,
CREDIT,12/27/2024,"GRAINGER CORPORA DIRECT DEP                 PPD ID: 9111111101",5190.14,ACH_CREDIT,5435.00,,
DEBIT,12/26/2024,"SP ANDREWPETFLY STORE KORUMBURRA             12/25",-136.00,DEBIT_CARD,244.86,,
DEBIT,12/26/2024,"SP JOHNMOUTAIN.STORE TURNER                  12/25",-73.00,DEBIT_CARD,380.86,,
DEBIT,12/26/2024,"SP ANNECLOTHING STORE ILLAWONG               12/25",-110.00,DEBIT_CARD,453.86,,
DEBIT,12/24/2024,"AMAZON MKTPL*Z98C68B Amzn.com/bill WA        12/24",-68.44,DEBIT_CARD,563.86,,
DEBIT,12/24/2024,"AMAZON MKTPL*ZE2FI38 Amzn.com/bill WA        12/24",-13.90,DEBIT_CARD,632.30,,
DEBIT,12/24/2024,"AMZN Mktp US*Z91BH2Y Amzn.com/bill WA        12/23",-96.29,DEBIT_CARD,646.20,,
DEBIT,12/24/2024,"CRT LEXINGTON LAW 800-341-8441 UT            12/23",-139.95,DEBIT_CARD,742.49,,
DEBIT,12/23/2024,"AffirmCard       564N AFFRM                 PPD ID: 1842224323",-39.99,MISC_DEBIT,882.44,,
DEBIT,12/23/2024,"PAYPAL           INST XFER  HULU            WEB ID: PAYPALSI77",-18.99,ACH_DEBIT,922.43,,
DEBIT,12/23/2024,"TACO BELL 3001016 SPEEDWAY IN                12/22",-15.43,DEBIT_CARD,941.42,,
DEBIT,12/23/2024,"ACT*Carmel Clay Parks 317-8487275 IN         12/22",-48.00,DEBIT_CARD,956.85,,
DEBIT,12/23/2024,"WEST CLAY WINE & SPIRIT CARMEL IN            12/21",-160.48,DEBIT_CARD,1004.85,,
DEBIT,12/23/2024,"APPLE.COM/BILL 866-712-7753 CA               12/21",-10.69,DEBIT_CARD,1165.33,,
DEBIT,12/23/2024,"ENDEAVOR COMMUNI TELE BILL                  PPD ID: 1350978228",-79.99,ACH_DEBIT,1176.02,,
DEBIT,12/23/2024,"FSP*URBAN SOCIETY SALON CARMEL IN            12/20",-262.21,DEBIT_CARD,1256.01,,
DEBIT,12/23/2024,"DD *DOORDASH CAFEPATA 855-431-0459 CA        12/21",-35.99,DEBIT_CARD,1518.22,,
DEBIT,12/20/2024,"WHOLEFDS CRL 104 14598 CARMEL IN     052055  12/20",-306.79,DEBIT_CARD,1554.21,,
DEBIT,12/20/2024,"WITHDRAWAL 12/20",-2400.00,MISC_DEBIT,1861.00,,
DEBIT,12/20/2024,"LOWE'S #1525 CARMEL IN               030429  12/20",-159.43,DEBIT_CARD,4261.00,,
DEBIT,12/20/2024,"AffirmCard       564K AFFRM                 PPD ID: 1842224323",-35.00,MISC_DEBIT,4420.43,,
DEBIT,12/20/2024,"DD *DOORDASHDASHPASS WWW.DOORDASH. CA        12/20",-96.00,DEBIT_CARD,4455.43,,
DEBIT,12/20/2024,"Deere Credit Ser PAYMENTS   7900000931623JF WEB ID: 7935336000",-642.55,ACH_DEBIT,4551.43,,
DEBIT,12/20/2024,"THE WEST WIND NAIL CARE CARMEL IN            12/19",-78.75,DEBIT_CARD,5193.98,,
DEBIT,12/20/2024,"MCDONALD'S F33737 MOORESVILLE IN             12/19",-14.23,DEBIT_CARD,5272.73,,
DEBIT,12/20/2024,"AMAZON MKTPL*Z91JZ0Z Amzn.com/bill WA        12/20",-18.18,DEBIT_CARD,5286.96,,
DEBIT,12/20/2024,"AMAZON MKTPL*Z13IP62 Amzn.com/bill WA        12/19",-47.08,DEBIT_CARD,5305.14,,
DEBIT,12/20/2024,"AMAZON MKTPL*Z96DG7J Amzn.com/bill WA        12/20",-11.77,DEBIT_CARD,5352.22,,
CREDIT,12/20/2024,"Online Transfer from CHK ...9516 transaction#: 23120912866",2000.00,ACCT_XFER,5363.99,,
DEBIT,12/19/2024,"ACTBLUE* MAD.DOG.PAC HTTPSSECURE.A MA        12/19",-10.00,DEBIT_CARD,3363.99,,
DEBIT,12/19/2024,"CABELA'S ONLINE U.S. 417-873-5000 MO         12/18",-149.79,DEBIT_CARD,3373.99,,
DEBIT,12/19/2024,"ARAMARK IU NORTH COFFEE CARMEL IN            12/18",-8.22,DEBIT_CARD,3523.78,,
DEBIT,12/19/2024,"AMZN Mktp US*Z974G31 Amzn.com/bill WA        12/18",-13.34,DEBIT_CARD,3532.00,,
DEBIT,12/19/2024,"THRIFT BOOKS GLOBAL, LL 2532752241 WA        12/19",-41.66,DEBIT_CARD,3545.34,,
DEBIT,12/18/2024,"FARMER'S FRIDGE 3122290099 IL                12/18",-19.45,DEBIT_CARD,3587.00,,
DEBIT,12/18/2024,"SERVICE FINANCE  PAYMENTS                   PPD ID: 2201934942",-200.00,ACH_DEBIT,3606.45,,
DEBIT,12/18/2024,"AMAZON MKTPL*Z12ZP27 Amzn.com/bill WA        12/18",-46.20,DEBIT_CARD,3806.45,,
DEBIT,12/18/2024,"TST*SAHMS ALE HOUSE VIL Fishers IN           12/17",-37.08,DEBIT_CARD,3852.65,,
