payee,date,amount,note,category,transaction_key,normalized_payee
AES IN/EZP       UTILITYPMT 5066207         WEB ID: 0000007041,2024-12-31,-244.93,Personal expense,PERSONAL,AES IN/EZP       UTILITYPMT 5066207         WEB ID: 0000007041|2024-12-31 00:00:00|-244.93,AES IN/EZP UTILITYPMT 5066207 WEB ID: 0000007041
PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77,2024-12-31,-7.16,domain fees for business at GoDaddy,Office Expenses,PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77|2024-12-31 00:00:00|-7.16,GODADDY.COM
PAYPAL           INST XFER  CLINEAVENUE     WEB ID: PAYPALSI77,2024-12-31,-55.77,Business travel expense trip to Chicago,Travel,PAYPAL           INST XFER  CLINEAVENUE     WEB ID: PAYPALSI77|2024-12-31 00:00:00|-55.77,CLINEAVENUE
BARRE DEFINITION BARREDEFINITI CA            12/31,2024-12-31,-59.99,p,Subscriptions & Memberships,BARRE DEFINITION BARREDEFINITI CA            12/31|2024-12-31 00:00:00|-59.99,BARRE DEFINITION BARREDEFINITI CA
STARBUCKS 800-782-728 800-782-7282 WA        12/31,2024-12-31,-20.0,p,Refunds/Credits,STARBUCKS 800-782-728 800-782-7282 WA        12/31|2024-12-31 00:00:00|-20.0,STARBUCKS 800-782-728 800-782-7282 WA
THE WEST WIND NAIL CARE CARMEL IN            12/30,2024-12-31,-33.75,p,Personal Care,THE WEST WIND NAIL CARE CARMEL IN            12/30|2024-12-31 00:00:00|-33.75,THE WEST WIND NAIL CARE CARMEL IN
SP IGK HAIR HTTPSWWW.IGKH FL                 12/31,2024-12-31,-146.64,p,Personal Care,SP IGK HAIR HTTPSWWW.IGKH FL                 12/31|2024-12-31 00:00:00|-146.64,SP IGK HAIR HTTPSWWW.IGKH FL
KROGER #3 10679 N MICH ZIONSVILLE IN         12/30,2024-12-30,-21.63,p,Office Supplies,KROGER #3 10679 N MICH ZIONSVILLE IN         12/30|2024-12-30 00:00:00|-21.63,KROGER #3 10679 N MICH ZIONSVILLE IN
PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77,2024-12-30,-32.99,[Ddomain fees business expense to GoDaddy,Software & Services,PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77|2024-12-30 00:00:00|-32.99,GODADDY.COM
PAYPAL           INST XFER  LYFT RIDE SAT 8 WEB ID: PAYPALSI77,2024-12-30,-14.1,p,Travel,PAYPAL           INST XFER  LYFT RIDE SAT 8 WEB ID: PAYPALSI77|2024-12-30 00:00:00|-14.1,LYFT RIDE SAT 8 WEB ID: PAYPALSI77
PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77,2024-12-30,-42.16,Personal expense,PERSONAL,PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77|2024-12-30 00:00:00|-42.16,GODADDY.COM
AMAZON MKTPL*ZP76M38 Amzn.com/bill WA        12/30,2024-12-30,-30.48,p,Please provide more details to assign a category.,AMAZON MKTPL*ZP76M38 Amzn.com/bill WA        12/30|2024-12-30 00:00:00|-30.48,AMAZON MKTPL*ZP76M38 AMZN.COM/BILL WA
APPLE.COM/BILL 866-712-7753 CA               12/29,2024-12-30,-38.35,p,Software & Subscriptions,APPLE.COM/BILL 866-712-7753 CA               12/29|2024-12-30 00:00:00|-38.35,APPLE.COM/BILL 866-712-7753 CA
PELOTON* MEMBERSHIP HTTPSWWW.ONEP NY         12/28,2024-12-30,-44.0,p,Subscriptions & Memberships,PELOTON* MEMBERSHIP HTTPSWWW.ONEP NY         12/28|2024-12-30 00:00:00|-44.0,PELOTON* MEMBERSHIP HTTPSWWW.ONEP NY
SP LASHIFY INC HTTPSWWW.LASH CA              12/28,2024-12-30,-53.5,p,Miscellaneous Expenses,SP LASHIFY INC HTTPSWWW.LASH CA              12/28|2024-12-30 00:00:00|-53.5,SP LASHIFY INC HTTPSWWW.LASH CA
SPOT & TANGO WWW.SPOTANDTA NY                12/28,2024-12-30,-228.48,p,Pet Expenses,SPOT & TANGO WWW.SPOTANDTA NY                12/28|2024-12-30 00:00:00|-228.48,SPOT & TANGO WWW.SPOTANDTA NY
BDH MANAGEMENT INC INDIANAPOLIS IN           12/28,2024-12-30,-37.08,Business related fees to Dun & Bradstreet required for Apple developer business account,Professional Services,BDH MANAGEMENT INC INDIANAPOLIS IN           12/28|2024-12-30 00:00:00|-37.08,BDH MANAGEMENT INC INDIANAPOLIS IN
Disney Plus 888-9057888 CA                   12/28,2024-12-30,-12.0,p,Subscriptions,Disney Plus 888-9057888 CA                   12/28|2024-12-30 00:00:00|-12.0,DISNEY PLUS 888-9057888 CA
HOPLARK.COM HOPLARK.COM NY                   12/28,2024-12-30,-85.17,p,Need additional information to categorize.,HOPLARK.COM HOPLARK.COM NY                   12/28|2024-12-30 00:00:00|-85.17,HOPLARK.COM HOPLARK.COM NY
AMAZON MKTPL*ZE0DE5L Amzn.com/bill WA        12/28,2024-12-30,-106.99,p,Not enough information,AMAZON MKTPL*ZE0DE5L Amzn.com/bill WA        12/28|2024-12-30 00:00:00|-106.99,AMAZON MKTPL*ZE0DE5L AMZN.COM/BILL WA
TST* PETITE CHOU BIST INDIANAPOLIS IN        12/27,2024-12-30,-110.36,p,Meals & Entertainment,TST* PETITE CHOU BIST INDIANAPOLIS IN        12/27|2024-12-30 00:00:00|-110.36,TST* PETITE CHOU BIST INDIANAPOLIS IN
SP HALFPRICEDRAPES HTTPSWWW.HALF CA          12/27,2024-12-30,-280.75,p,Refunds/Credits Received,SP HALFPRICEDRAPES HTTPSWWW.HALF CA          12/27|2024-12-30 00:00:00|-280.75,SP HALFPRICEDRAPES HTTPSWWW.HALF CA
IKEA 468367152 888-434-4532 MD               12/29,2024-12-30,21.4,p,Office Supplies,IKEA 468367152 888-434-4532 MD               12/29|2024-12-30 00:00:00|21.4,IKEA 468367152 888-434-4532 MD
PAYPAL           INST XFER  PIMSLEURSUB     WEB ID: PAYPALSI77,2024-12-27,-22.42,p,Subscriptions & Memberships,PAYPAL           INST XFER  PIMSLEURSUB     WEB ID: PAYPALSI77|2024-12-27 00:00:00|-22.42,PIMSLEURSUB
PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77,2024-12-27,-3.85,p,Parking,PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77|2024-12-27 00:00:00|-3.85,PARKMOBILE
